Column1;energy;valence;spotify_id;name;artists;duration
99164;0.0949;0.706;4c7m5TLZ61e4otG1fZ68XP;Rosa de Hiroshima;Secos & Molhados;121893.0
99168;0.338;0.446;52VIdyKqp1pJRSyUQaxKUA;Everything I Own;Bread;187000.0
99171;0.498;0.478;2ZC8sdv4Kvuql7Q9T8Agzv;Como Nossos Pais;Elis Regina;261600.0
99180;0.00896;0.0673;3YJrnXT1UNpRgnc7lcgXSF;Rêverie, L. 68: Rêverie;Claude Debussy,Jean-Yves Thibaudet;256000.0
99201;0.572;0.0917;0rmg0BnI951Unz2OjbGnli;Divano;ERA;233480.0
99223;0.927;0.894;0RshiY6XKLbdsnFNEQoHFH;Heart On Fire;Eric Church;258805.0
99244;0.851;0.461;0iVkWge9ytV4Scgy2hQ2za;Hurricane;Ofenbach,Ella Henderson;147140.0
99264;0.261;0.296;52YXekNG4JiRZqrFOoEOyg;"La Cenerentola / Act 2: ""Non più mesta""";Gioachino Rossini,William Matteuzzi,Cecilia Bartoli,Alessandro Corbelli,Enzo Dara,Michele Pertusi,Fernanda Costa,Gloria Banditelli,Coro del Teatro Comunale di Bologna,Orchestra del Teatro Comunale di Bologna,Riccardo Chailly;189333.0
99273;0.0503;0.295;2cFsO1qC65joLn2GzRViBI;Hungarian Dance No.5 in G Minor, WoO 1, No.5;Johannes Brahms,Budapest Festival Orchestra,Iván Fischer;150507.0
99276;0.792;0.872;5R9KPXQVeyqsHZoPLMgfNy;Baby Me Atende;Matheus Fernandes,Dilsinho;225672.0
99283;0.498;0.243;4IPyYrEPMJ25VfT4D0sh4V;Love Love;Gilsons;205984.0
99289;0.758;0.827;79NbrfFwCmY4zlsHM6Yr8U;Investe em Mim / Voltei / Pente e Rala / Na Cama / Cara de Pau - Ao Vivo;Di Propósito;444034.0
99290;0.742;0.777;4x8XaoLvpo6kd51PZD16RK;Sogra - Ao Vivo;Dilsinho,Henrique & Juliano;177068.0
99296;0.736;0.352;4650WGL6InVqP7YN5POqIz;Party Rock Anthem;LMFAO,Lauren Bennett,GoonRock;262147.0
99297;0.764;0.73;1kTlT3phtU2yqTJYT1x6hb;Fireworks (feat. Moss Kena & The Knocks);Purple Disco Machine,Moss Kena,The Knocks;199705.0
99298;0.772;0.737;2ahnofp2LbBWDXcJbMaSTu;"What Is Love - 7"" Mix";Haddaway;270373.0
99303;0.863;0.496;619bJQ9uDi8dnXzLebFI7y;When Love Takes Over (feat. Kelly Rowland);David Guetta;189000.0
99308;0.786;0.739;4dASQiO1Eoo3RJvt74FtXB;Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);Lil Wayne,Wiz Khalifa,Imagine Dragons,X Ambassadors,Logic,Ty Dolla $ign;243491.0
99310;0.626;0.479;21LMl54FIe7J5oOoZzgeiQ;Ang Huling El Bimbo;Eraserheads;450333.0
99319;0.192;0.0542;14rZjW3RioG7WesZhYESso;Comptine d'un autre été, l'après-midi;Yann Tiersen;140733.0
99334;0.00289;0.191;2TkGYqnVFS0T5u2PYN6JQS;Some;Nils Frahm;253911.0
99336;0.249;0.158;77Z7XS4SNSN7EZve9nkPGP;Atlantico;Roberto Cacciapaglia;229013.0
99353;0.595;0.265;6O5TrlFWTYvznd9fMC0VvU;When We Were Young;Adele;290900.0
99361;0.54;0.75;0TK2YIli7K1leLovkQiNik;Señorita;Shawn Mendes,Camila Cabello;190960.0
99363;0.836;0.68;7K5tOFxje8nlunmexOmWgo;SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK);DJ Snake,Ozuna,Megan Thee Stallion,LISA;225600.0
99365;0.482;0.217;6SPD3JwwRejBhCDiQAQ4he;Run It!;Chris Brown,Juelz Santana;229867.0
99382;0.8;0.56;53WuztMfY1VH3rLIm0zApQ;イエスタデイ;Official HIGE DANdism;299164.0
99392;0.865;0.81;28onW7dIUL4gls6LEG5qg4;Immortals;Fall Out Boy;195027.0
99394;0.188;0.112;67OLFfO2kun5EglTyscEOe;All Is Found - Kacey Musgraves Version;Kacey Musgraves;183735.0
99395;0.116;0.142;4MJycw2LwmR4tTMtchLw7Q;The Next Right Thing;Kristen Bell;216773.0
99399;0.326;0.434;1GOq2wY5FdBz4jHi68LSx5;When I Am Older;Josh Gad;111452.0
99408;0.619;0.284;65fpYBrI8o2cfrwf2US4gq;Rewrite The Stars;Zac Efron,Zendaya;217440.0
99411;0.354;0.329;6qTJtlUrLTrZLUuS81SPI7;The Imperial March (Darth Vader's Theme);John Williams,London Symphony Orchestra;183733.0
99415;0.588;0.803;6QGI6v91UlqSytTDVKZIUP;Ghostbusters;Ray Parker Jr.;245600.0
99420;0.615;0.823;3i62MZ61GygVq952yYGbJZ;Mission: Impossible Theme;Michael Giacchino;51800.0
99434;0.0675;0.112;7iocNjLrxPHLl8njgRlv5U;Married Life;Michael Giacchino;250573.0
99438;0.187;0.179;1joFnRAR5U4kQb34ubZ7sD;Mia & Sebastian’s Theme;Justin Hurwitz;96893.0
99442;0.139;0.12;5wsHtmFHWntJzcN6n8ivjd;Rey's Theme;John Williams;191067.0
99455;0.0436;0.0294;24tp9KQWD7EVkPiHcO1pPE;The Turing Test;Ben Salisbury,Geoff Barrow;274093.0
99467;0.277;0.0706;6vkjS0qFE5l4LVoW7hsgFd;Chariots Of Fire;Vangelis;209067.0
99495;0.438;0.552;2HHtWyy5CgaQbC7XSoOb0e;Eye of the Tiger;Survivor;243773.0
99501;0.479;0.913;3KkXRkHbMCARz0aVfEt68P;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone,Swae Lee;158040.0
99504;0.735;0.0596;1v7L65Lzy0j0vdpRjJewt1;"Lose Yourself - From ""8 Mile"" Soundtrack";Eminem;322227.0
99508;0.633;0.552;3GCdLUSnKSMJhs4Tj6CV3s;All The Stars (with SZA);Kendrick Lamar,SZA;232187.0
99510;0.662;0.244;2bzitsPcImYC6DZWvvLCQi;"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""";Imagine Dragons;210933.0
99512;0.387;0.183;6XLww4MprrLCvWpVXD9K7S;Photograph;Ed Sheeran;256293.0
99514;0.276;0.0382;33LC84JgLvK2KuW43MfaNq;"My Heart Will Go On - Love Theme from ""Titanic""";Céline Dion;280000.0
99522;0.426;0.33;6PZhPSeV4ndaMhZ65n2TL8;Far Nearer;Jamie xx;410578.0
99525;0.877;0.771;38Q8bp8VfCzCWWa0lPzCnB;Down With The Trumpets;Rizzle Kicks;186851.0
99528;0.55;0.0683;3pYY9xbF4rsItUCC5Oi2Sc;Hyph Mngo;Joy Orbison;338373.0
99534;0.301;0.348;5botfQRNmIQlMbtySGt2iZ;The Wilhelm Scream;James Blake;277040.0
99535;0.273;0.0455;2GaAWaIazp02G4PZJV0gxX;Limit To Your Love;James Blake;276720.0
99560;0.413;0.274;56hFwZGsqUjuv2D766KfKa;Detroit Part II;Shigeto;448307.0
99593;0.874;0.383;7z4I7DPSqgnNJ2GeOZBijc;Come1;Machinedrum;373444.0
99606;0.56;0.146;0DSIv9DJruGLaRRLKKgit3;NY Is Killing Me;Gil Scott-Heron,Jamie xx;343867.0
99614;0.844;0.127;664jBL8NgKFYdiMK9bnCcz;Atlas;Bicep;352946.0
99617;0.727;0.421;2cSRuejq6DU9U6OkSmUw17;Under Your Spell;Desire;296016.0
99642;0.7;0.198;3v5GwZZovzKkoP1Ykvo9IA;Loud Places;Jamie xx,Romy;283173.0
99652;0.614;0.234;12eLaxPDKxxcEPcyhe5Z4O;White Flag;Delta Heavy;182848.0
99671;0.514;0.0359;5MEN9SWK5XrTojn2P8sbHz;Last Remnants;Koreless;260398.0
99673;0.462;0.736;1mXXf7ztqQei9qUXliL19H;I Want You to Want Me;Cheap Trick;191227.0
99677;0.799;0.475;7wOmQJeVX6qjNXqqsKOkPx;Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off;Panic! At The Disco;200227.0
99680;0.74;0.734;04aQmJ2Bvd7gb65Af9ZNzC;Just Dance;Lady Gaga,Colby O'Donis;241933.0
99685;0.73;0.57;1QX0tDSxpjEgGsclfZEGzb;Teenage Kicks;The Undertones;148560.0
99695;0.54;0.882;7wnMqjYb0q8dSNERQrjHFD;Whole Wide World;Wreckless Eric;172733.0
99708;0.762;0.86;0ono6UCNVZ1XqOm6j78Blu;Filter;BTS;180221.0
99711;0.907;0.0362;3PUnmXpIRfLa8yI9wfgJPC;Children;Tinlicker,Robert Miles;245927.0
99714;0.903;0.039;7qRqmkHtKgk9B8FTGp9YjL;No Time - RÜFÜS DU SOL Remix;Lastlings,RÜFÜS DU SOL;398969.0
99723;0.911;0.329;3IvgnZ2vUJedikovn6OLmy;Remember (feat. The Presets);Steve Angello,The Presets;334267.0
99768;0.979;0.149;6bO1ZRc6JEvIhBgVQH4VPh;Human Touch;Pond;200382.0
99769;0.883;0.915;5OAQpdkxSJtdxpBft95aMl;シャングリラ;Chatmonchy;195787.0
99772;0.912;0.611;6EsBn1Md8C5YdbCzvwvZq8;Self Esteem;The Offspring;257760.0
99773;0.532;0.122;6J0xeqjdpsUH0W1YBCmD1L;Take on the World;You Me At Six;271307.0
99774;0.895;0.272;2lPXTisSIBbl5WtOvZ9gSj;Komplett im Arsch;Feine Sahne Fischfilet;283653.0
99775;0.852;0.867;07q0QVgO56EorrSGHC48y3;I Was Made For Lovin' You;KISS;271240.0
99778;0.658;0.328;0xrkyEMkG4dVa5OMLQZOX8;Engel;Rammstein;264267.0
99779;0.576;0.14;0Xq7FPQaLJgIHSB605YUMy;Sweet Dreams (Are Made Of This);Marilyn Manson;291440.0
99781;0.962;0.961;7goMqXhydyyhmWdPxLTm7E;Time Bomb;Rancid;144333.0
99783;0.985;0.371;2C4ARHS1GUDDdaIpl7tAay;May-16;Lagwagon;176960.0
99784;0.922;0.595;3fXqDlChHYVt3LKnMluWio;Stupid For You;Waterparks;191545.0
99791;0.925;0.468;07pCWKYKy73p19uNorkha5;Scars;Papa Roach;208199.0
99792;0.935;0.658;17XgxMFNzBYv38TEJRC18D;The Hell Song;Sum 41;198493.0
99793;0.691;0.552;6ihL9TjfRjadfEePzXXyVF;Gives You Hell;The All-American Rejects;213107.0
99794;0.844;0.549;4D6k7r6H97vB0ErRTedQPK;Pieces;Sum 41;181653.0
99795;0.954;0.519;43t2TYUzhb3FpM7Bn2UyJL;Bad Habits;Silverstein,Intervals;173000.0
99798;0.887;0.812;545uLtMjobal2O22sdmdkq;Motivation;Sum 41;170653.0
99817;0.651;0.643;5lKHrBigpyKZM6uMvbOGh2;Sorri, Sou Rei (feat. Claudia Leitte);Natiruts,Claudia Leitte;332653.0
99823;0.701;0.6;4Q3bC89HOX1oOgyFh8cCKu;Mais Amor;Ponto De Equilíbrio,Tati Portella;165789.0
99824;0.494;0.791;7FpQLWSBgpNMcYrYpa8gwQ;Onde Você Mora? (Acústico);Cidade Negra;298293.0
99837;0.74;0.672;5u3FywQOPJ5O7ZAjm31cnq;Right Here - Human Nature Radio Mix;SWV;226800.0
99847;0.406;0.178;5QDGKcQLqOJvoiu8eScEaM;Let Em' Know;Bryson Tiller;261880.0
99872;0.89;0.692;5W8YXBz9MTIDyrpYaCg2Ky;Last Resort;Papa Roach;199907.0
99875;0.0894;0.0728;6t7lMFHSifu9j8NPMNCv9T;Orchestral Suite No. 3 in D Major, BWV 1068: II. Air;Johann Sebastian Bach,Orpheus Chamber Orchestra;284000.0
99884;0.991;0.298;6RpBs7BsS9oiHKtzJXsMOS;ADAMAS;LiSA;225000.0
99890;0.758;0.663;56lhDZNQ5J47aog6mGKeGk;Thunder Road;Bruce Springsteen;288720.0
99899;0.833;0.805;7av4raprzW2bWdjyAaH3hz;What's Going On;Marvin Gaye;231271.0
99903;0.525;0.251;3WRQUvzRvBDr4AxMWhXc5E;Sunset Lover;Petit Biscuit;238907.0
99904;0.887;0.795;37ZJ0p5Jm13JPevGcx4SkF;Livin' On A Prayer;Bon Jovi;249293.0
99910;0.446;0.743;7IhkWF9zpiYKlU7CxHxYT9;All Right Now;Free;332907.0
99916;0.843;0.188;3MrRksHupTVEQ7YbA0FsZK;The Final Countdown;Europe;310333.0
99918;0.71;0.53;63OFKbMaZSDZ4wtesuuq6f;Born To Be Wild;Steppenwolf;210373.0
99921;0.34;0.197;0RO9W1xJoUEpq5MEelddFb;Stairway to Heaven - Remaster;Led Zeppelin;482830.0
99922;0.79;0.961;05NYcsjJwOYq4jIiKPVj9p;Hard To Handle;The Black Crowes;188067.0
99925;0.0115;0.0955;2fYOyayT80ysO3nxw9lKXn;Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio;Wolfgang Amadeus Mozart,Sabine Meyer,Berliner Philharmoniker;394560.0
99926;0.922;0.716;5awDvzxWfd53SSrsRZ8pXO;Du hast;Rammstein;234227.0
99927;0.908;0.656;6OnfBiiSc9RGKiBKKtZXgQ;We Built This City;Starship;296080.0
99928;0.78;0.456;4juq76lIar8YWOLpYMXUAG;Joker And The Thief;Wolfmother;280467.0
99930;0.95;0.622;3M1H1CWjrSq7nxABHc8EXv;Lobo-hombre en París;La Unión;233267.0
99937;0.588;0.637;6NvRxjfYkkT2SpirAlmsjH;No One Knows;Queens of the Stone Age;278707.0
99938;0.884;0.898;5G0vAvojJAb8np3INdsISs;Come Out and Play;The Offspring;197800.0
99940;0.669;0.609;3yI282DoIJyERd0vGukMoB;Fortunate Son;Creedence Clearwater Revival;140773.0
99955;0.875;0.575;2SHTKB8YYlawTGIuJ2b2ok;About A Girl;Nirvana;168429.0
99962;0.795;0.513;64BbK9SFKH2jk86U3dGj2P;Otherside;Red Hot Chili Peppers;255373.0
99977;0.575;0.963;0JLR1Y2HdwzNrt3UTqujwg;Tutti Frutti;Little Richard;144107.0
99982;0.411;0.964;7ne4BkLirPdOcLICOwh7VD;Santa Bring My Baby Back (To Me);Elvis Presley;113133.0
99984;0.118;0.429;5CQUuU0dFETaWHC47IZ9z8;White Christmas;The Drifters;160133.0
99987;0.565;0.774;6HtK8LNO0WbZU1YOvlI5x8;Rock Around The Christmas Tree;Big Bud;152400.0
99990;0.719;0.969;5cWKBOUUemcjynxC5hS7yP;Hot Rod Roadeo;The Go Getters;122507.0
100001;0.673;0.874;63KLP5dmcQmby6KJQ6ueMd;Chantilly Lace;Jerry Lee Lewis;169653.0
100005;0.565;0.966;05k9zkL0InhFtrByAYNVJa;Stupid Cupid;Wanda Jackson;135427.0
